Team	Service	Action	Method	Endpoint or Topic	Request Data	Response / Effect	When to use	Description
Sales & Booking	contract-service	Publish event	Kafka	booking.order.confirmed-topic	{"bookingId":<UUID>,"unitId":<UUID>,"customerId":<UUID>}	Legal สร้างร่างสัญญาแล้ว publish purchase.contract.drafted-topic	ทุกครั้งที่ booking confirmed	ส่ง event ให้ Legal เริ่มกระบวนการร่างสัญญาจะซื้อจะขาย
Sales & Booking	contract-service	REST query	GET	https://contract-service-h5fs.onrender.com/api/contracts/{id}	Path: id (UUID)	200 OK + Contract object | 404 Not Found	อยากดูสถานะสัญญาเฉพาะ id	อ่านข้อมูลสัญญาแบบเฉพาะเจาะจง
Sales & Booking	contract-service	REST query	GET	https://contract-service-h5fs.onrender.com/api/contracts?customerId={uuid}	Query: customerId (UUID)	200 OK + Contract[]	อยากดูสัญญาทั้งหมดของลูกค้าคนหนึ่ง	list สัญญาของลูกค้าใช้แสดงในหน้า profile หรือ history
Property Verification	contract-service	Subscribe event	Kafka	purchase.contract.drafted-topic	{"contractId":<UUID>,"bookingId":<UUID>,"unitId":<UUID>,"customerId":<UUID>,"status":"DRAFT","fileUrl":<string>,"templateId":<UUID>,"createdAt":<ISO8601>,"draftedAt":<ISO8601>}	ใช้ data ไปตรวจ title deed ต่อ	เมื่อ Legal สร้างร่างสัญญาเสร็จ	Subscribe topic เพื่อรับร่างสัญญาที่ Legal สร้างขึ้นมาตรวจ title deed
Inventory	acquisition-service	Publish event	Kafka	property.survey.received-topic	{"surveyId":<UUID>,"propertyId":<UUID>,"address":<string>,"areaSqm":<number>,"estimatedValue":<number>,"zoneType":<string>,"sellerId":<UUID>,"sellerName":<string>,"sellerContact":<string>}	Legal เปิด Acquisition แล้ว publish acquisition.approval.requested-topic ขอ CEO อนุมัติ	หลัง survey property เสร็จ	แจ้ง Legal ว่ามี property ที่จะเข้าซื้อ พร้อมข้อมูล survey และผู้ขาย
Inventory	acquisition-service	Subscribe event	Kafka	acquisition.contract.drafted-topic	{"acquisitionId":<UUID>,"willingContractId":<UUID>,"propertyId":<UUID>,"fileUrl":<string>,"agreedPrice":<number>,"templateId":<UUID>,"draftedAt":<ISO8601>}	ใช้ data ไป register property + settle price	เมื่อ Legal ร่าง willing contract เสร็จ	Subscribe topic เพื่อรับ willing contract ไปลงทะเบียน property และตั้งราคา
Inventory	acquisition-service	REST query	GET	https://acquisition-service.onrender.com/api/acquisitions/{id}	Path: id (UUID)	200 OK + Acquisition object | 404 Not Found	อยากเช็คสถานะ acquisition	อ่านข้อมูล acquisition ตาม id
CEO	acquisition-service	Subscribe event	Kafka	acquisition.approval.requested-topic	{"acquisitionId":<UUID>,"surveyId":<UUID>,"propertyId":<UUID>,"address":<string>,"estimatedValue":<number>,"sellerName":<string>,"requestedAt":<ISO8601>}	CEO พิจารณาว่าจะอนุมัติหรือไม่	เมื่อ Legal ขออนุมัติเข้าซื้อ property	Subscribe topic เพื่อรับคำขออนุมัติเข้าซื้อ property
CEO	acquisition-service	Publish event	Kafka	acquisition.approval.granted-topic	{"acquisitionId":<UUID>,"approvedPrice":<number>,"approvedBy":<string>}	Legal ร่าง willing contract แล้ว publish acquisition.contract.drafted-topic	หลัง CEO อนุมัติเข้าซื้อ	ส่งคำอนุมัติให้ Legal ดำเนินการร่างสัญญาจะซื้อจะขายต่อ
CEO	acquisition-service	REST query	GET	https://acquisition-service.onrender.com/api/acquisitions?status=APPROVAL_REQUESTED	Query: status (enum)	200 OK + Acquisition[]	อยากดู list ที่รออนุมัติ	filter ตาม state เพื่อจัดการคิวการอนุมัติ
